date,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Life Ball
22-May-23,17,26,33,44,46,3
18-May-23,10,32,36,39,43,2
15-May-23,3,23,25,33,36,1
11-May-23,16,19,22,31,45,1
08-May-23,7,12,13,21,26,4
04-May-23,13,15,16,35,37,10
01-May-23,11,22,24,37,43,9
27-Apr-23,11,18,29,38,44,9
24-Apr-23,4,8,10,38,43,3
20-Apr-23,10,28,29,42,46,5
17-Apr-23,5,15,23,26,44,8
13-Apr-23,7,8,14,17,45,2
10-Apr-23,5,23,26,27,43,7
06-Apr-23,16,21,41,43,46,7
03-Apr-23,3,4,6,36,39,7
30-Mar-23,4,24,25,30,33,7
27-Mar-23,6,16,20,44,47,9
23-Mar-23,2,11,17,26,27,3
20-Mar-23,3,24,30,35,44,9
16-Mar-23,1,7,25,31,40,2
13-Mar-23,3,15,17,18,33,9
09-Mar-23,9,16,27,39,46,6
06-Mar-23,3,20,24,42,45,1
02-Mar-23,9,26,38,40,43,1
27-Feb-23,23,28,34,45,46,1
23-Feb-23,1,6,29,30,40,4
20-Feb-23,12,17,22,31,38,3
16-Feb-23,2,10,25,28,30,2
13-Feb-23,4,6,9,17,18,3
09-Feb-23,4,16,17,21,34,6
06-Feb-23,14,18,22,32,44,1
02-Feb-23,5,9,10,25,41,7
30-Jan-23,15,16,19,22,25,6
26-Jan-23,2,13,28,30,34,4
23-Jan-23,4,10,13,21,30,10
19-Jan-23,15,30,40,42,47,8
16-Jan-23,10,23,32,36,40,10
12-Jan-23,23,24,25,30,31,9
09-Jan-23,7,16,24,29,31,3
05-Jan-23,3,29,36,40,42,6
02-Jan-23,3,4,7,15,26,6
29-Dec-22,16,27,39,40,42,7
26-Dec-22,3,5,7,16,21,6
22-Dec-22,14,27,28,40,43,8
19-Dec-22,1,9,12,36,41,5
15-Dec-22,6,9,12,30,46,5
12-Dec-22,8,19,26,32,37,10
08-Dec-22,1,3,21,38,42,2
05-Dec-22,19,23,31,34,43,8
01-Dec-22,12,34,40,42,47,2
28-Nov-22,2,12,17,19,21,4
24-Nov-22,1,10,14,32,40,7
21-Nov-22,3,12,18,31,33,3
17-Nov-22,13,21,22,25,37,2
14-Nov-22,9,20,21,37,40,8
10-Nov-22,4,27,29,31,40,1
07-Nov-22,10,12,13,21,42,5
03-Nov-22,2,5,24,29,37,3
31-Oct-22,3,5,13,17,24,7
27-Oct-22,15,23,25,35,36,7
24-Oct-22,8,15,20,35,38,1
20-Oct-22,3,8,13,29,36,1
17-Oct-22,19,25,32,33,46,5
13-Oct-22,6,15,34,42,46,8
10-Oct-22,8,9,16,21,37,1
06-Oct-22,3,4,24,40,45,6
03-Oct-22,1,13,17,37,44,4
29-Sep-22,8,11,16,26,47,7
26-Sep-22,11,21,25,28,39,6
22-Sep-22,8,11,36,39,40,1
19-Sep-22,9,25,34,37,47,2
15-Sep-22,3,13,20,23,38,4
12-Sep-22,10,13,14,21,46,7
08-Sep-22,2,7,31,42,44,3
05-Sep-22,6,14,20,29,33,5
01-Sep-22,11,18,25,34,38,3
29-Aug-22,3,8,14,31,47,8
25-Aug-22,1,3,21,27,34,7
22-Aug-22,21,28,33,38,47,1
18-Aug-22,8,17,20,35,40,1
15-Aug-22,8,10,18,21,40,9
11-Aug-22,1,12,13,26,40,7
08-Aug-22,10,15,22,23,41,7
04-Aug-22,5,15,43,44,47,3
01-Aug-22,7,11,19,31,47,9
28-Jul-22,3,6,15,26,33,6
25-Jul-22,7,20,26,33,39,10
21-Jul-22,8,24,26,37,43,10
18-Jul-22,2,4,9,34,47,2
14-Jul-22,4,5,14,16,38,7
11-Jul-22,8,18,23,24,43,10
07-Jul-22,1,5,22,35,39,3
04-Jul-22,5,7,10,21,38,4
30-Jun-22,18,22,29,42,44,2
27-Jun-22,14,16,25,27,37,9
23-Jun-22,1,6,9,33,38,6
20-Jun-22,1,3,40,44,47,6
16-Jun-22,10,17,18,32,39,10
13-Jun-22,1,7,11,43,47,1
09-Jun-22,10,21,23,29,35,4
06-Jun-22,9,17,32,41,45,2
02-Jun-22,18,29,31,33,47,8
30-May-22,8,16,37,43,45,1
26-May-22,2,3,34,39,46,7
23-May-22,2,6,21,24,25,5
19-May-22,22,24,27,33,38,1
16-May-22,6,13,17,20,43,9
12-May-22,3,13,15,19,36,7
09-May-22,6,7,9,31,38,2
05-May-22,16,23,29,36,38,6
02-May-22,3,27,31,44,46,6
28-Apr-22,5,13,21,42,47,6
25-Apr-22,8,15,31,37,40,7
21-Apr-22,6,25,30,36,46,8
18-Apr-22,7,9,12,31,43,7
14-Apr-22,11,17,28,34,42,9
11-Apr-22,3,11,25,42,47,8
07-Apr-22,8,11,19,31,33,7
04-Apr-22,7,34,38,44,46,9
31-Mar-22,14,23,33,38,39,7
28-Mar-22,29,32,42,44,46,3
24-Mar-22,34,36,38,41,46,1
21-Mar-22,3,8,23,30,32,3
17-Mar-22,18,25,30,42,44,5
14-Mar-22,4,5,10,40,44,4
10-Mar-22,7,10,19,27,32,2
07-Mar-22,23,29,37,38,46,8
03-Mar-22,18,26,29,41,42,2
28-Feb-22,4,15,24,31,33,9
24-Feb-22,5,6,25,31,40,7
21-Feb-22,11,13,16,21,46,3
17-Feb-22,5,15,24,40,43,4
14-Feb-22,3,9,14,27,38,4
10-Feb-22,4,9,31,32,42,1
07-Feb-22,5,31,34,36,47,1
03-Feb-22,6,16,22,44,47,5
31-Jan-22,3,4,7,29,34,8
27-Jan-22,15,19,26,40,42,7
24-Jan-22,14,18,28,29,38,7
20-Jan-22,7,22,24,25,40,2
17-Jan-22,4,5,11,27,35,7
13-Jan-22,5,16,17,21,43,3
10-Jan-22,8,13,15,35,47,9
06-Jan-22,9,27,34,40,45,6
03-Jan-22,15,22,26,37,47,10
30-Dec-21,20,27,38,40,41,6
27-Dec-21,32,33,35,44,47,3
23-Dec-21,19,22,33,42,44,3
20-Dec-21,24,27,40,46,47,5
16-Dec-21,4,25,28,39,40,7
13-Dec-21,7,19,20,27,32,4
09-Dec-21,12,24,29,37,47,2
06-Dec-21,16,18,21,22,45,1
02-Dec-21,3,29,32,38,43,4
29-Nov-21,2,14,18,34,40,5
25-Nov-21,2,13,21,26,34,3
22-Nov-21,3,14,26,30,39,3
18-Nov-21,18,28,39,42,45,5
15-Nov-21,13,21,28,32,36,2
11-Nov-21,18,19,23,35,36,1
08-Nov-21,3,7,19,24,35,3
04-Nov-21,4,8,11,26,34,3
01-Nov-21,2,22,30,38,42,4
28-Oct-21,3,9,21,29,45,7
25-Oct-21,15,31,36,43,45,2
21-Oct-21,2,3,4,12,29,8
18-Oct-21,4,7,22,34,44,5
14-Oct-21,2,8,24,38,41,10
11-Oct-21,9,16,21,40,44,6
07-Oct-21,12,13,23,27,33,9
04-Oct-21,11,14,24,33,36,9
30-Sep-21,5,10,20,21,24,8
27-Sep-21,26,30,32,40,44,1
23-Sep-21,4,27,38,43,45,3
20-Sep-21,6,17,25,26,39,2
16-Sep-21,13,15,23,37,44,9
13-Sep-21,15,16,19,34,44,9
09-Sep-21,1,2,21,25,29,1
06-Sep-21,15,20,28,33,34,9
02-Sep-21,2,3,16,24,38,3
30-Aug-21,20,29,33,43,45,1
26-Aug-21,17,19,25,30,40,5
23-Aug-21,6,16,19,34,37,6
19-Aug-21,8,31,39,42,47,10
16-Aug-21,8,13,19,31,46,6
12-Aug-21,11,18,22,42,43,1
09-Aug-21,9,13,14,23,34,3
05-Aug-21,12,24,24,35,45,10
02-Aug-21,6,8,9,37,39,8
29-Jul-21,8,32,37,40,45,3
26-Jul-21,2,10,26,38,45,7
22-Jul-21,5,14,37,40,43,7
19-Jul-21,8,9,36,44,46,4
15-Jul-21,7,8,11,27,42,5
12-Jul-21,12,17,31,35,39,7
08-Jul-21,8,20,28,33,47,6
05-Jul-21,17,22,36,40,41,6
01-Jul-21,7,10,20,33,39,3
28-Jun-21,1,9,15,22,34,1
24-Jun-21,1,26,31,32,41,5
21-Jun-21,5,13,20,29,37,5
17-Jun-21,7,20,27,28,29,2
14-Jun-21,6,13,19,20,36,9
10-Jun-21,1,18,22,36,37,9
07-Jun-21,8,17,19,27,43,4
03-Jun-21,8,26,39,40,45,8
31-May-21,15,19,20,36,43,4
27-May-21,1,7,11,32,36,7
24-May-21,8,18,20,29,40,6
20-May-21,4,5,18,19,27,4
17-May-21,10,17,23,39,41,4
13-May-21,12,30,40,42,47,9
10-May-21,13,18,21,26,47,4
06-May-21,2,7,25,40,46,4
03-May-21,1,8,12,22,32,10
29-Apr-21,13,14,21,23,40,6
26-Apr-21,8,12,13,21,25,5
22-Apr-21,14,30,36,41,42,6
19-Apr-21,1,10,11,16,46,6
15-Apr-21,2,17,24,26,46,7
12-Apr-21,6,26,32,38,44,7
08-Apr-21,19,21,24,32,42,6
05-Apr-21,13,28,29,30,34,2
01-Apr-21,12,26,31,32,35,6
29-Mar-21,17,28,39,42,43,8
25-Mar-21,10,13,28,30,38,1
22-Mar-21,8,19,29,34,35,9
18-Mar-21,5,25,43,44,47,8
15-Mar-21,9,11,29,39,44,6
11-Mar-21,3,11,20,21,26,8
08-Mar-21,2,16,28,32,45,10
04-Mar-21,4,8,18,28,44,8
01-Mar-21,9,14,19,35,37,6
25-Feb-21,2,12,16,19,23,4
22-Feb-21,4,7,16,20,42,9
18-Feb-21,7,19,28,38,39,5
15-Feb-21,22,23,25,32,44,3
11-Feb-21,27,29,37,41,42,7
08-Feb-21,4,10,14,17,30,2
04-Feb-21,4,5,7,26,39,6
01-Feb-21,20,23,30,31,42,10
28-Jan-21,5,13,20,34,35,10
25-Jan-21,6,17,36,45,47,7
21-Jan-21,24,27,28,35,40,8
18-Jan-21,13,22,34,35,46,6
14-Jan-21,2,8,9,25,43,4
11-Jan-21,4,20,32,34,44,9
07-Jan-21,16,26,35,36,39,7
04-Jan-21,19,29,35,42,46,8
31-Dec-20,15,26,33,34,44,2
28-Dec-20,2,4,22,37,45,10
24-Dec-20,3,13,14,36,38,7
21-Dec-20,10,13,14,40,43,3
17-Dec-20,12,22,25,37,39,3
14-Dec-20,5,9,18,34,43,6
10-Dec-20,25,33,35,39,41,5
07-Dec-20,3,11,14,21,44,8
03-Dec-20,9,22,25,38,41,9
30-Nov-20,11,18,20,42,47,10
26-Nov-20,2,7,20,38,46,2
23-Nov-20,3,10,15,29,30,1
19-Nov-20,1,3,15,18,29,9
16-Nov-20,13,17,21,38,39,6
12-Nov-20,2,12,20,22,26,10
09-Nov-20,23,26,29,37,43,6
05-Nov-20,7,11,18,19,22,10
02-Nov-20,3,16,41,42,44,2
29-Oct-20,17,26,27,38,45,8
26-Oct-20,17,29,32,33,38,3
22-Oct-20,2,6,15,21,43,10
19-Oct-20,21,31,32,40,42,7
15-Oct-20,5,10,12,13,16,10
12-Oct-20,6,9,10,22,30,10
08-Oct-20,13,29,33,35,37,9
05-Oct-20,21,34,39,41,45,1
01-Oct-20,1,8,9,20,45,7
28-Sep-20,6,23,38,41,42,1
24-Sep-20,3,8,17,22,36,5
21-Sep-20,3,7,26,37,41,1
17-Sep-20,3,7,17,34,44,3
14-Sep-20,12,19,22,25,42,6
10-Sep-20,6,7,21,38,39,5
07-Sep-20,26,32,35,40,44,8
03-Sep-20,8,10,26,31,32,3
31-Aug-20,1,10,26,35,39,7
27-Aug-20,13,16,19,24,29,7
24-Aug-20,10,24,25,41,42,6
20-Aug-20,4,5,17,27,36,2
17-Aug-20,6,18,24,34,37,6
13-Aug-20,33,35,37,45,47,5
10-Aug-20,1,10,14,21,26,7
06-Aug-20,2,22,36,42,43,9
03-Aug-20,15,16,33,36,45,1
30-Jul-20,7,13,17,27,32,4
27-Jul-20,6,10,20,27,36,1
23-Jul-20,5,21,33,36,40,9
20-Jul-20,7,12,17,32,45,5
16-Jul-20,18,29,33,38,43,9
13-Jul-20,4,10,18,19,45,10
09-Jul-20,11,16,26,39,44,8
06-Jul-20,5,12,17,21,30,2
